pos,prk,name,team,bye,inj,age,exp,pts,value,lvalue,owner,bid,notes
WR,162,Mike Thomas,DET,9,,26,4,13,,,,,
WR,163,Jamar Newsome,KC,10,,25,2,11,,,,,
WR,164,Laron Byrd,ARI,9,,23,1,11,,,,,
WR,165,Jarrett Boykin,GB,4,,23,1,11,,,,,
WR,166,Courtney Roby,NO,7,,30,8,10,,,,,
WR,167,Jordan White,NYJ,10,,25,1,10,,,,,
WR,168,Chris Givens,NO,7,,24,1,9,,,,,
WR,169,Terrance Copper,KC,10,,31,9,9,,,,,
WR,170,Matt Slater,NE,10,,27,5,6,,,,,
WR,171,Charles Johnson,GB,4,,24,R,5,,,,,
TE,1,Jimmy Graham  ,NO,7,,26,3,231,,,,,
TE,2,Greg Olsen,CAR,4,,28,6,162,,,,,
TE,3,Vernon Davis  ,SF,9,,29,7,159,,,,,
TE,4,Rob Gronkowski  ,NE,10,,24,3,154,,,,,
TE,5,Tony Gonzalez,ATL,6,,37,16,153,,,,,
TE,6,Jason Witten,DAL,11,,31,10,150,,,,,
TE,7,Kyle Rudolph,MIN,5,,23,2,143,,,,,
TE,8,Jared Cook  ,STL,11,,26,4,141,,,,,
TE,9,Owen Daniels,HOU,8,,30,7,129,,,,,
TE,10,Jermichael Finley      ,GB,4,,26,5,128.5,,,,,
TE,11,Brandon Pettigrew  ,DET,9,,28,4,127.5,,,,,
TE,12,Martellus Bennett,CHI,8,,26,5,119.8,,,,,
TE,13,Brandon Myers,NYG,9,,27,4,119.1,,,,,
TE,14,Jordan Cameron,CLE,10,,24,2,116.8,,,,,
TE,15,Marcedes Lewis,JAX,9,,29,7,112.5,,,,,
TE,16,Antonio Gates  ,SD,8,,33,10,111.1,,,,,
TE,17,Dustin Keller,MIA,6,,28,5,111.1,,,,,
TE,18,Tyler Eifert  ,CIN,12,,22,R,110,,,,,
TE,19,Coby Fleener,IND,8,,24,1,109.1,,,,,
TE,20,Zach Ertz,PHI,12,,22,R,103.1,,,,,
TE,21,Ed Dickson  ,BAL,8,,26,3,102,,,,,
TE,22,Robert Housler,ARI,9,,25,2,101.7,,,,,
TE,23,Dwayne Allen,IND,8,,23,1,98,,,,,
TE,24,Jermaine Gresham  ,CIN,12,,25,3,96.5,,,,,
TE,25,Zach Miller  ,SEA,12,,27,6,96.5,,,,,
TE,26,Fred Davis  ,WAS,5,,27,5,95.4,,,,,
TE,27,Heath Miller,PIT,5,,30,8,92.1,,,,,
TE,28,Delanie Walker,TEN,8,,28,7,86.3,,,,,
TE,29,Scott Chandler,BUF,12,,28,6,85.5,,,,,
TE,30,Brent Celek,PHI,12,,28,6,82.6,,,,,
TE,31,David Ausberry,OAK,7,,25,2,78.2,,,,,
TE,32,Jake Ballard  ,NE,10,,25,3,70.5,,,,,
TE,33,Julius Thomas  ,DEN,9,,25,2,65,,,,,
TE,34,Tony Scheffler,DET,9,,30,7,63.9,,,,,
TE,35,Jeff Cumberland,NYJ,10,,26,3,63.4,,,,,
TE,36,Jacob Tamme  ,DEN,9,,28,5,61.5,,,,,
TE,37,Visanthe Shiancoe  ,BAL,8,,33,10,59.6,,,,,
TE,38,Lance Kendricks,STL,11,,25,2,58.2,,,,,
TE,39,Travis Kelce,KC,10,,23,R,57.9,,,,,
TE,40,Craig Stevens,TEN,8,,28,5,57.3,,,,,
TE,41,Luke Stocker,TB,5,,25,2,57,,,,,
TE,42,Kellen Winslow,NYJ,10,,30,9,56.6,,,,,
TE,43,Anthony Fasano,KC,10,,29,7,53.9,,,,,
TE,44,Ladarius Green,SD,8,,23,1,48.1,,,,,
TE,45,Garrett Graham,HOU,8,,27,3,47.9,,,,,
TE,46,Dante Rosario,---,0,,28,6,46.6,,,,,
TE,47,Matt Spaeth,PIT,5,,28,6,44.4,,,,,
TE,48,Michael Egnew,MIA,6,,23,1,43.1,,,,,
TE,49,Zach Sudfeld,NE,10,,24,R,41.4,,,,,
TE,50,Kellen Davis,CLE,10,,27,5,40.5,,,,,
TE,51,Vance McDonald,SF,9,,23,R,39.9,,,,,
TE,52,Jordan Reed,WAS,5,,23,R,39.5,,,,,
TE,53,Anthony McCoy,SEA,12,,25,3,39.4,,,,,
TE,54,Tom Crabtree,TB,5,,27,4,36.5,,,,,
TE,55,Adrien Robinson,NYG,9,,24,1,35,,,,,
TE,56,Joel Dreessen  ,DEN,9,,31,8,34.9,,,,,
TE,57,Tony Moeaki,KC,10,,26,3,32.2,,,,,
TE,58,John Carlson,MIN,5,,29,5,31.4,,,,,
TE,59,Steve Maneri,CHI,8,,25,3,28.9,,,,,
TE,60,Gavin Escobar,DAL,11,,22,R,28.4,,,,,
TE,61,Dion Sims,MIA,6,,22,R,27.4,,,,,
TE,62,Niles Paul,WAS,5,,23,2,27.4,,,,,
TE,63,Ben Watson,NO,7,,32,9,26.5,,,,,
TE,64,Matt Furstenburg,BAL,8,,24,R,25.1,,,,,
TE,65,Gary Barnidge,CLE,10,,27,5,24.5,,,,,
